id,make_id,make_desc,model_id,model_desc,variant_id,variant_desc,search_string,motor_flag,fuel_type_id,fuel_type_desc,seating_capacity,vehicle_image,search_count,cc,segment_id,segment_desc
33211,1000006,APRILIA,1001841,CAPONORD,1015256,1200 ABS,APRILIA CAPONORD 1200 ABS (1197 cc),Bike,1,Petrol,2,Aprilia-Caponord.jpg,0,1197,1000004,Motor cycle
33213,1000006,APRILIA,1001842,DORSODURO,1015257,1200 ABS,APRILIA DORSODURO 1200 ABS (1197 cc),Bike,1,Petrol,2,Aprilia-Dorsoduro.jpg,0,1197,1000004,Motor cycle
33215,1000006,APRILIA,1001843,MANA,1015097,850 ABS STD,APRILIA MANA 850 ABS STD (840 cc),Bike,1,Petrol,2,default-bike.jpg,0,840,1000004,Motor cycle
33217,1000006,APRILIA,1001843,MANA,1015098,850 GT ABS STD,APRILIA MANA 850 GT ABS STD (840 cc),Bike,1,Petrol,2,default-bike.jpg,0,840,1000004,Motor cycle
33219,1000006,APRILIA,1001844,RSV4,1015208,FACTORY,APRILIA RSV4 FACTORY (1000 cc),Bike,1,Petrol,2,default-bike.jpg,0,1000,1000004,Motor cycle
33221,1000006,APRILIA,1001844,RSV4,1015209,FACTORY APRC,APRILIA RSV4 FACTORY APRC (1000 cc),Bike,1,Petrol,2,default-bike.jpg,0,1000,1000004,Motor cycle
33223,1000006,APRILIA,1001844,RSV4,1015210,FACTORY APRC SE,APRILIA RSV4 FACTORY APRC SE (1000 cc),Bike,1,Petrol,2,default-bike.jpg,0,1000,1000004,Motor cycle
33225,1000006,APRILIA,1001844,RSV4,1015211,R,APRILIA RSV4 R (1000 cc),Bike,1,Petrol,2,default-bike.jpg,0,1000,1000004,Motor cycle
33227,1000006,APRILIA,1001844,RSV4,1015212,R APRC,APRILIA RSV4 R APRC (1000 cc),Bike,1,Petrol,2,default-bike.jpg,0,1000,1000004,Motor cycle
33229,1000006,APRILIA,1001845,SR,1015258,STD,APRILIA SR STD (150 cc),Bike,1,Petrol,2,default-bike.jpg,0,150,1000004,Motor cycle
33231,1000006,APRILIA,1001845,SR,1015362,RACE,APRILIA SR RACE (154 cc),Bike,1,Petrol,2,default-bike.jpg,0,154,1000004,Motor cycle
33233,1000006,APRILIA,1001845,SR,1015401,125,APRILIA SR 125 (124 cc),Bike,1,Petrol,2,default-bike.jpg,0,124,1000004,Motor cycle
33235,1000006,APRILIA,1001846,SRV,1015259,850 ABS,APRILIA SRV 850 ABS (839 cc),Bike,1,Petrol,2,default-bike.jpg,0,839,1000004,Motor cycle
33237,1000006,APRILIA,1001847,TUONO,1015260,V4 R APRC,APRILIA TUONO V4 R APRC (999 cc),Bike,1,Petrol,2,default-bike.jpg,0,999,1000004,Motor cycle
33239,1000006,APRILIA,1003598,LEONARDO,1015418,STD,APRILIA LEONARDO STD (150 cc),Bike,1,Petrol,2,default-bike.jpg,0,150,1000008,Scooter
33241,1000006,APRILIA,1003599,SCARBED 150,1015419,STD,APRILIA SCARBED 150 STD (150 cc),Bike,1,Petrol,2,default-bike.jpg,0,150,1000008,Scooter
33243,1000006,APRILIA,1003600,SONIC 50,1015420,STD,APRILIA SONIC 50 STD (50 cc),Bike,1,Petrol,2,default-bike.jpg,0,50,1000009,Moped
33245,1000006,APRILIA,1003601,SR 50,1015421,STD,APRILIA SR 50 STD (50 cc),Bike,1,Petrol,2,default-bike.jpg,0,50,1000009,Moped
33247,1000006,APRILIA,1003663,SCARBED,1015577,STD,APRILIA SCARBED STD (150 cc),Bike,1,Petrol,2,default-bike.jpg,0,150,1000008,Scooter
33249,1000007,ASHOK LEYLAND,1002159,STILE,1011548,LS (O),ASHOK LEYLAND STILE LS (O) (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33251,1000007,ASHOK LEYLAND,1002159,STILE,1007909,LE 7 STR,ASHOK LEYLAND STILE LE 7 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33253,1000007,ASHOK LEYLAND,1002159,STILE,1007910,LE 8 STR,ASHOK LEYLAND STILE LE 8 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33255,1000007,ASHOK LEYLAND,1002159,STILE,1007911,LS 7 STR,ASHOK LEYLAND STILE LS 7 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33257,1000007,ASHOK LEYLAND,1002159,STILE,1007912,LS 8 STR,ASHOK LEYLAND STILE LS 8 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33259,1000007,ASHOK LEYLAND,1002159,STILE,1007913,LX 7 STR,ASHOK LEYLAND STILE LX 7 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33261,1000007,ASHOK LEYLAND,1002159,STILE,1007914,LX 7 STR ALLOY,ASHOK LEYLAND STILE LX 7 STR ALLOY (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
33263,1000007,ASHOK LEYLAND,1002159,STILE,1007915,LX 8 STR,ASHOK LEYLAND STILE LX 8 STR (1461 cc),Car,2,Diesel,8,Ashok-leyland.jpg,0,1461,1000017,MUV/MPV
