Vehicle Code,Make,Model,Variant,Body Type,Seating Capacity,Power,Cubic Capacity,Grosss Vehicle Weight,Fuel Type,No Of Wheels,Abs,Air Bags,Length,Ex Showroom Price,Price Year,Production,Manufacturing,Vehicle Type
1110110101,ALFA ROMEO                    ,156 GTA                                           ,STD                           ,SUV,5,186.4,"3,179","1,795",Petrol,4,Y,6,4.43,"6,930,000","2,017",Production Discontinued,CBU ,Pvt Car
1110110201,ALFA ROMEO                    ,ROMEO                                             ,VINATGE                       ,Hatch,5,186.4,"1,100","1,795",Petrol,4,N,6,0,"219,000","2,017",Production Discontinued,IND ,Pvt Car
1110110202,ALFA ROMEO                    ,ALFA ROMEO                                        ,VINTAGE                       ,Hatch,5,186.4,"1,750","1,795",Petrol,4,N,6,0,"219,000","2,017",Production Discontinued,IND ,Pvt Car
1110210101,ASTON MARTIN                  ,DB9                                               ,Coupe                         ,SUV,4,380.3,"5,935","2,135",Petrol,4,Y,9,4.72,"21,900,000","2,017",Production Discontinued,CBU ,Pvt Car
1110210201,ASTON MARTIN                  ,DBS                                               ,Coupe 2STR                    ,SUV,2,380.3,"5,935","2,135",Petrol,4,Y,9,4.72,"24,517,500","2,017",Production Discontinued,CBU ,Pvt Car
1110210301,ASTON MARTIN                  ,RAPIDE                                            ,6.0 RHD                       ,SUV,4,380.3,"5,935","2,135",Petrol,4,Y,9,4.72,"24,355,013","2,017",Production Discontinued,CBU ,Pvt Car
1110210302,ASTON MARTIN                  ,RAPIDE                                            ,6.0 RHD Touchtronic           ,SUV,4,380.3,"5,935","2,135",Petrol,4,Y,9,4.72,"29,571,437","2,017",Production Discontinued,CBU ,Pvt Car
1110210401,ASTON MARTIN                  ,VANTAGE V8                                        ,Coupe                         ,SUV,2,380.3,"4,735","2,135",Petrol,4,Y,9,4.72,"13,747,052","2,017",Production Discontinued,CBU ,Pvt Car
1110210402,ASTON MARTIN                  ,VANTAGE V8                                        ,S Coupe Sportshift            ,SUV,2,380.3,"4,735","2,135",Petrol,4,Y,9,4.72,"23,862,649","2,017",Production Discontinued,CBU ,Pvt Car
1110210501,ASTON MARTIN                  ,VIRAGE                                            ,6.0 V12 Volante               ,SUV,4,380.3,"5,935","2,135",Petrol,4,Y,9,4.72,"32,473,350","2,017",Production Discontinued,CBU ,Pvt Car
1110210601,ASTON MARTIN                  ,DB11                                              ,V8 Coupe                      ,SUV,4,370.6,"3,880","2,135",Petrol,4,Y,9,0,"36,958,000","2,017",Under Production,IND ,Pvt Car
1110210701,ASTON MARTIN                  ,AUSTIN TEN                                        ,VINTAGE                       ,Hatch,5,89.4,"1,000","2,135",Petrol,4,N,9,0,"369,580","2,017",Production Discontinued,IND ,Pvt Car
1110310101,AUDI                          ,A3                                                ,35 TDI Premium Plus           ,Sedan,5,106.6,"1,968","1,890",Diesel,4,Y,8,4.45,"3,374,000","2,017",Under Production,CKD ,Pvt Car
1110310102,AUDI                          ,A3                                                ,35 TDI Technology             ,Sedan,5,106.6,"1,968","1,890",Diesel,4,Y,8,4.45,"3,543,000","2,017",Under Production,CKD ,Pvt Car
1110310103,AUDI                          ,A3                                                ,35 TFSI Premium Plus          ,Sedan,5,106.6,"1,968","1,890",Petrol,4,Y,8,4.45,"3,199,000","2,017",Under Production,CKD ,Pvt Car
1110310104,AUDI                          ,A3                                                ,35 TFSI Technology            ,Sedan,5,106.6,"1,968","1,890",Petrol,4,Y,8,4.45,"3,392,000","2,017",Under Production,CKD ,Pvt Car
1110310106,AUDI                          ,A3                                                ,35 TDI Attraction             ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,9,4.456,"2,459,000","2,017",Production Discontinued,IND ,Pvt Car
1110310107,AUDI                          ,A3                                                ,35 TDI Cabriolet              ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,9,4.456,"3,200,000","2,017",Production Discontinued,IND ,Pvt Car
1110310108,AUDI                          ,A3                                                ,35 TDI Limousine              ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,6,4.456,"3,269,000","2,017",Production Discontinued,IND ,Pvt Car
1110310109,AUDI                          ,A3                                                ,35 TDI Premium                ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,7,4.456,"3,369,000","2,017",Production Discontinued,IND ,Pvt Car
1110310110,AUDI                          ,A3                                                ,35TDI Premium+ with Sunroof   ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,7,4.456,"3,290,000","2,017",Production Discontinued,IND ,Pvt Car
1110310111,AUDI                          ,A3                                                ,35 TDI Premium with Sunroof   ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,7,4.4,"3,000,000","2,017",Production Discontinued,IND ,Pvt Car
1110310112,AUDI                          ,A3                                                ,35 TDI Technology Pack        ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,7,4.456,"3,500,000","2,017",Production Discontinued,IND ,Pvt Car
1110310113,AUDI                          ,A3                                                ,35TDI Technology Pack Sunroof ,Sedan,5,106.6,"1,968","1,340",Diesel,4,Y,7,4.456,"3,500,000","2,017",Production Discontinued,IND ,Pvt Car
1110310114,AUDI                          ,A3                                                ,35 TDI Technology Sunroof nav ,Sedan,5,106.6,"1,968","1,880",Diesel,4,Y,7,4.456,"3,560,000","2,017",Production Discontinued,IND ,Pvt Car
1110310115,AUDI                          ,A3                                                ,40 TFSI Cabriolet             ,Sedan,5,131.9,"1,798","1,880",Petrol,4,Y,7,4.421,"4,400,000","2,017",Production Discontinued,IND ,Pvt Car
1110310116,AUDI                          ,A3                                                ,40 TFSI Cabriolet Full (O)    ,Sedan,5,131.9,"1,798","1,880",Petrol,4,Y,7,4.456,"4,400,000","2,017",Production Discontinued,IND ,Pvt Car
1110310117,AUDI                          ,A3                                                ,40 TFSI Limousine             ,Sedan,5,134.2,"1,798","1,840",Petrol,4,Y,7,4.456,"3,500,000","2,017",Under Production,IND ,Pvt Car
1110310118,AUDI                          ,A3                                                ,40 TFSI Premium Plus          ,Sedan,5,132.7,"1,798","1,845",Petrol,4,Y,6,4.456,"3,027,000","2,017",Production Discontinued,IND ,Pvt Car
1110310119,AUDI                          ,A3                                                ,40 TFSI Premium+ with Sunroof ,Sedan,5,132.7,"1,798","1,845",Petrol,4,Y,8,4.456,"3,140,000","2,017",Production Discontinued,IND ,Pvt Car
1110310120,AUDI                          ,A3                                                ,40TFSI Panoramic Glassroof    ,Sedan,5,132.7,"1,798","1,845",Petrol,4,Y,8,4.456,"3,140,000","2,017",Production Discontinued,IND ,Pvt Car
